status_id,text,favorite_count,retweet_count,place_name,country_code
1071064757673721856,RT @Azure: Get detailed guidance on how Microsoft planned and implemented its #app modernization strategy with #Azure. Get the e-book: http…,0,12,NA,NA
1071064737830432768,"RT @RayChase: With immense gratitude to @NintendoAmerica, I can formally announce that I had the honor of giving Roy an English voice in #S…",0,1375,NA,NA
1071064640094793729,RT @AtlusUSA: @NintendoAmerica You never saw it coming.,0,12699,NA,NA
1071064577172013056,"@OCGTraining @john_craddock Yes 3 options. Federation, Passwork hash sync, or Pass Through Authentication.  Each have pros and con's but choose one and you now have Hybrid authentication with Azure AD.",0,0,NA,NA
1071064518078423040,"#Azure Data Lake Storage Gen2 preview – More features, more performance, better availability https://t.co/MzWNND9Vwr",0,0,NA,NA
1071064296329744391,Get up to speed with Azure HDInsight: The comprehensive guide https://t.co/dEO7Wh66dE #MSFTAdvocate,0,0,NA,NA
1071064136082055169,RT @Adam1Wang: @weimojie1 @azure_fqzy @chinashiyu 😂双关语？,0,2,NA,NA
1071063607750877184,"RT @RahulKayala: Super excited to share an updated Azure IoT Analytics offering that transforms your business with actionable, real-time in…",0,5,NA,NA
1071063400535314433,"RT @CNBCtech: Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says https://t.co/HzRwEQ7MWM",0,1,NA,NA
1071063258747027456,"This is cool.  Has some sample Python notebooks.  Focus on the machine learning rather than the infrastructure, by building pipelines with #AzureMachineLearning: https://t.co/F9Z37Laq67 #MSFTAdvocate",2,1,NA,NA
1071063194662264832,RT @JeffDarchuk: Blogged: Easy Azure PAAS Sitecore 0 downtime blue/green deployments designed to save money and time with no content author…,0,33,NA,NA
1071063172440743936,"RT @Azure: Learn how to use #AI-powered #Azure Cognitive Search to create a data-enrichment pipeline that feeds into a search index. Watch,…",0,6,NA,NA
1071063089716649985,"RT @stevekovach: Microsoft's cloud business could be bigger than Windows by 2021

@jordannovet

https://t.co/pTZghItNxc",0,1,NA,NA
1071062975220305921,RT @ve3ofa: Using a Powershell Azure Function to Send Automated Blog Post Tweets https://t.co/pkA2sGjxb9,0,1,NA,NA
1071062956509724672,How to load test your web apps with Azure App Services | Azure Tips and Tricks https://t.co/Cce8oDNnGX #MSFTAdvocate,0,0,NA,NA
1071062852063125504,"Microsoft's cloud business could be bigger than Windows by 2021, KeyBanc says https://t.co/GrR66L7IVZ",0,0,NA,NA
